Date,Category,Value,Product,Sales,Region
2023-01-01,A,28.0,Wireless Charger,754.0,East
2023-01-02,B,39.0,Bluetooth Speaker,110.0,North
2023-01-03,C,32.0,Portable Mouse,398.0,East
2023-01-04,B,8.0,Wireless Charger,522.0,East
2023-01-05,B,26.0,Bluetooth Speaker,869.0,North
2023-01-06,B,54.0,Bluetooth Speaker,192.0,West
2023-01-07,A,16.0,Wireless Charger,936.0,East
2023-01-08,C,89.0,Wireless Charger,488.0,West
2023-01-09,C,37.0,Bluetooth Speaker,772.0,West
2023-01-10,A,22.0,Portable Mouse,834.0,West
2023-01-11,B,7.0,Wireless Charger,842.0,North
2023-01-12,B,60.0,Portable Mouse,,West
2023-01-13,A,70.0,Bluetooth Speaker,628.0,South
2023-01-14,A,69.0,Wireless Charger,423.0,East
2023-01-15,A,47.0,Portable Mouse,893.0,West
2023-01-16,C,,Wireless Charger,895.0,North
2023-01-17,C,93.0,Portable Mouse,511.0,South
2023-01-18,C,,Wireless Charger,108.0,West
2023-01-19,A,31.0,Portable Mouse,578.0,West
2023-01-20,A,59.0,Wireless Charger,736.0,East
2023-01-21,C,82.0,Bluetooth Speaker,606.0,South
2023-01-22,C,37.0,Portable Mouse,992.0,South
2023-01-23,B,62.0,Bluetooth Speaker,942.0,North
2023-01-24,C,92.0,Portable Mouse,342.0,West
2023-01-25,A,24.0,Portable Mouse,458.0,East
2023-01-26,C,95.0,Wireless Charger,584.0,West
2023-01-27,C,71.0,Portable Mouse,619.0,North
2023-01-28,C,56.0,Portable Mouse,224.0,North
2023-01-29,B,,Bluetooth Speaker,617.0,North
2023-01-30,C,51.0,Portable Mouse,737.0,South
2023-01-31,B,50.0,Bluetooth Speaker,735.0,West
2023-02-01,A,17.0,Portable Mouse,189.0,West
2023-02-02,B,63.0,Bluetooth Speaker,338.0,South
2023-02-03,C,27.0,Bluetooth Speaker,,East
2023-02-04,C,70.0,Bluetooth Speaker,669.0,West
2023-02-05,B,60.0,Portable Mouse,,West
2023-02-06,C,36.0,Bluetooth Speaker,177.0,East
2023-02-07,C,2.0,Wireless Charger,,North
2023-02-08,C,94.0,Wireless Charger,408.0,South
2023-02-09,A,62.0,Wireless Charger,155.0,West
2023-02-10,B,15.0,Wireless Charger,578.0,East
2023-02-11,C,97.0,Wireless Charger,256.0,East
2023-02-12,A,93.0,Bluetooth Speaker,164.0,West
2023-02-13,A,43.0,Bluetooth Speaker,949.0,East
2023-02-14,A,96.0,Bluetooth Speaker,830.0,East
2023-02-15,B,99.0,Portable Mouse,599.0,West
2023-02-16,B,6.0,Wireless Charger,938.0,South
2023-02-17,B,69.0,Bluetooth Speaker,143.0,West
2023-02-18,C,65.0,Bluetooth Speaker,182.0,North
2023-02-19,C,11.0,Bluetooth Speaker,708.0,North
